,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,Error
658,Caught by Wireless,1908,N/A,21 Mar 1908,10 min,"Short, Drama",Wallace McCutcheon,N/A,"D.W. Griffith, Edward Dillon","In Ireland, Paddy is having troubles with his rent collector who has also made advances to Paddy's wife. The rent collector enlists the aid of the Black-and-Tans and Paddy has to flee to ...","None, English",USA,N/A,https://m.media-amazon.com/images/M/MV5BNjA0MjY4NDk4Nl5BMl5BanBnXkFtZTcwNzg1MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,36,tt0000659,movie,N/A,N/A,N/A,N/A,True,
659,The Christmas Burglars,1908,N/A,22 Dec 1908,11 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Adele DeGarde, Charles Inslee","It is Christmas Eve. Mrs. Martin, the poor widowed mother of a seven-year-old child, returns to her cheerless apartment, after a long day's tramp in search of work, and all in vain. The little one asks her mother if Santa Clans is co","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,41,tt0000660,movie,N/A,N/A,N/A,N/A,True,
660,Humanity Through the Ages,1908,N/A,N/A,N/A,Short,Georges Méliès,N/A,Georges Méliès,N/A,None,France,N/A,https://m.media-amazon.com/images/M/MV5BMTk1NDk2NTY5M15BMl5BanBnXkFtZTgwOTU1MzUwMzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,11,tt0000661,movie,N/A,N/A,N/A,N/A,True,
661,Classmates,1908,N/A,01 Feb 1908,N/A,"Short, Drama, Romance",Wallace McCutcheon,N/A,Edward Dillon,"Two adolescent students at college are by circumstances thrown together almost continuously. They are classmates, roommates and players on the college football team, and being stalwart, ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,19,tt0000662,movie,N/A,N/A,N/A,N/A,True,
662,The Clubman and the Tramp,1908,N/A,27 Nov 1908,17 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Florence Lawrence, Linda Arvidson, John R. Cumpson","A tramp tricks a cook into leaving her wealthy employer's house. While the clubman's house is empty the tramp makes himself at home, starting by helping himself to a good meal, then going upstairs for a bath and a new set of clothes.","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,13,tt0000663,movie,N/A,N/A,N/A,N/A,True,
663,Los competidores,1908,N/A,N/A,6 min,Short,Fructuós Gelabert,"Fructuós Gelabert (screenplay), Fructuós Gelabert (story)","Luis Blanca, Fidel Dalmau, José Marques, Antonio Plácido",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000664,movie,N/A,N/A,N/A,N/A,True,
664,Concealing a Burglar,1908,N/A,30 Oct 1908,11 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Florence Lawrence, Harry Solter, Linda Arvidson","Mr. and Mrs. Brown are preparing to attend a banquet, and Mrs. Brown takes from the jewel case a beautiful pearl necklace, but in her haste forgets to put it on. She notices its absence ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,13,tt0000665,movie,N/A,N/A,N/A,N/A,True,
665,Corrida de toros con Antonio Fuentes,1908,N/A,N/A,25 min,"Documentary, Short, Sport",Fructuós Gelabert,N/A,N/A,N/A,N/A,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,19,tt0000666,movie,N/A,N/A,N/A,N/A,True,
666,Corrida de toros con Ricardo Torres 'Bombita',1908,N/A,N/A,9 min,"Documentary, Short, Sport",Fructuós Gelabert,N/A,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000667,movie,N/A,N/A,N/A,N/A,True,
667,The Count of Monte Cristo,1908,Not Rated,15 Feb 1908,14 min,"Action, Short, Drama","Francis Boggs, Thomas Persons",Alexandre Dumas,"Hobart Bosworth, Francis Boggs","A complete performance of THE COUNT OF MONTE CRISTO filmed as a stage play with curtains between the five acts: Act I. ""The Sailor's Return,"" Act II. ""Twenty Years Later,"" Act III. ""Dantes Starts on His Mission of Vengeance,"" Act IV.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDUzM2I2ZTgtMmQyYS00ZDcwLThjZDUtYjNlZjI0NGQ5OThlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,48,tt0000668,movie,N/A,N/A,N/A,N/A,True,
668,Cupid's Pranks,1908,Not Rated,19 Feb 1908,10 min,"Short, Comedy, Fantasy",J. Searle Dawley,N/A,"Violette Hill, Mr. Barry, Marie Murray",Cupid visits a ballroom dance and tries to bring a couple together.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmIxZTk5NWUtMzllYS00ZDQwLTlmNmYtOGM3YzY1YzFmODAxXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,151,tt0000669,movie,N/A,N/A,N/A,N/A,True,
669,El curioso impertinente,1908,N/A,N/A,12 min,Short,Narciso Cuyàs,"Miguel de Cervantes y Saavedra (novel), Narciso Cuyàs","Joaquín Carrasco, Francisco Tressols",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000670,movie,N/A,N/A,N/A,N/A,True,
670,Desdemona,1908,N/A,N/A,N/A,"Short, Drama",Franz Porten,Giuseppe Verdi (from the opera Otello),Henny Porten,N/A,None,Germany,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,9,tt0000671,movie,N/A,N/A,N/A,N/A,True,
671,The Devil,1908,N/A,02 Oct 1908,10 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Harry Solter, Claire McDowell, George Gebhardt","Harold Thornton, a successful artist, is so deeply in love with his wife that apparently no power, natural or supernatural, could swerve him from the path of honor. But, alas! he is human, and in his employ is a very beautiful girl a","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,44,tt0000672,movie,N/A,N/A,N/A,N/A,True,
672,La Dolores,1908,N/A,N/A,15 min,Short,"Fructuós Gelabert, Enrique Jiménez","Josep Feliú i Codina, Fructuós Gelabert","Joaquín Carrasco, Señor Gallart, Enrique Jiménez",N/A,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,6,tt0000673,movie,N/A,N/A,N/A,N/A,True,
673,Don Juan Tenorio,1908,N/A,N/A,15 min,"Short, Drama","Ricardo de Baños, Alberto Marro","Ricardo de Baños, Alberto Marro, José Zorrilla",Cecilio Rodríguez de la Vega,N/A,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,45,tt0000674,movie,N/A,N/A,N/A,N/A,True,
674,Don Quijote,1908,N/A,N/A,N/A,Drama,Narciso Cuyàs,Miguel de Cervantes y Saavedra,N/A,"A self-proclaimed ""knight"" and his hapless squire travel the Spanish countryside, attacking ""giants"" that are really windmills in his attempt to win the love of the fair Dulcinea.",None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",N/A,4.8,19,tt0000675,movie,N/A,N/A,N/A,N/A,True,
675,Don Álvaro o la fuerza del sino,1908,N/A,N/A,N/A,"Short, Drama",Narciso Cuyàs,Duque de Rivas (play),"Jaime Borrás, Joaquín Carrasco",N/A,None,Spain,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,8,tt0000676,movie,N/A,N/A,N/A,N/A,True,
676,Ex-Convict No. 900,1908,N/A,16 Oct 1908,N/A,"Drama, Short",Edwin S. Porter,Edwin S. Porter (scenario),"Maurice Costello, Charles Ogle, Herbert Prior, Florence Turner","An ex-convict has a happy life until his past is exposed, and he is forced to return to crime to feed his child.",English,USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,6,tt0000677,movie,N/A,N/A,N/A,N/A,True,
677,Excursión a Montserrat,1908,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,Fructuós Gelabert,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000678,movie,N/A,N/A,N/A,N/A,True,
678,The Fairylogue and Radio-Plays,1908,N/A,24 Sep 1908,120 min,"Fantasy, Adventure","Francis Boggs, Otis Turner","L. Frank Baum, Otis Turner","L. Frank Baum, Frank Burns, George E. Wilson","L. Frank Baum would appear in a white suit and present his live actors, slide shows and films as a live travelogue presentation of his popular fantasies. Highlights include Dorothy being swept to Oz in various ways, such as with back",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGYxYTQ5ODEtYmU2Yy00MDQ4LWFhMTQtMTc5YTllZjRhY2E4XkEyXkFqcGdeQXVyMDgyNjA5MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,65,tt0000679,movie,N/A,N/A,N/A,N/A,True,
679,Falsely Accused!,1908,N/A,18 Jan 1908,N/A,"Short, Drama",Wallace McCutcheon,N/A,"Edward Dillon, D.W. Griffith","A wealthy old alchemist and inventor has just perfected a motion picture camera with which he hopes to revolutionize the art of animated photography, and our story opens with the old man in...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,14,tt0000680,movie,N/A,N/A,N/A,N/A,True,
680,A Famous Escape,1908,N/A,07 Apr 1908,N/A,"Short, Drama",Wallace McCutcheon,N/A,"Harry Solter, D.W. Griffith, Anthony O'Sullivan","The story is founded on an incident taken from the history of the United States during a time of strife. The opening scenes show the departure from their homes, mothers, wives and ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,9,tt0000681,movie,N/A,N/A,N/A,N/A,True,
681,Fantasmagorie,1908,N/A,17 Aug 1908,2 min,"Animation, Short, Fantasy",Émile Cohl,N/A,N/A,"The first all-animated film in history, a series of scenes without much narrative structure, but morphing into each other.",None,France,N/A,https://m.media-amazon.com/images/M/MV5BNDA1Zjg3ZjYtYjgzZi00NGUxLTgxNWMtYjc1N2FlN2Y4MWQ2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,"2,374",tt0000682,movie,N/A,N/A,N/A,N/A,True,
682,The Fatal Hour,1908,N/A,18 Aug 1908,14 min,"Short, Crime",D.W. Griffith,D.W. Griffith,"George Gebhardt, Harry Solter, Linda Arvidson, Florence Auer","Pong Lee, a Mephistophelian, saffron-skinned varlet, has for some time carried on this atrocious female white slave traffic, in which sinister business he was assisted by a stygian whelp, ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,41,tt0000683,movie,N/A,N/A,N/A,N/A,True,
683,Father Gets in the Game,1908,N/A,10 Oct 1908,10 min,"Short, Comedy",D.W. Griffith,D.W. Griffith,"Mack Sennett, Harry Solter, George Gebhardt","""You have got to keep up with the bandwagon or quit."" This never impressed old Wilkins so forcibly as when his son and daughter give him the go-by, stamping him as a ""has-been,"" and away out of the game. Even Mrs. Wilkins, who is as ","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BOWI4OTUzNzYtZDVjYS00ODA4LWE3ZDctYTYxNTA3ZjIyMGQyXkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,114,tt0000684,movie,N/A,N/A,N/A,N/A,True,
684,The Feud and the Turkey,1908,N/A,08 Dec 1908,15 min,"Short, Drama, Romance",D.W. Griffith,D.W. Griffith,"Harry Solter, Linda Arvidson, Arthur V. Johnson","The Wilkinsons and Caulfields, owing to a trivial dispute, had been at loggerheads for years and as time went on the feeling became more bitter, until they even forbade their children playing together. The little ones, however, in th","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,13,tt0000685,movie,N/A,N/A,N/A,N/A,True,
685,Fiestas del carnaval de 1908 en Barcelona,1908,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,Fructuós Gelabert,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000686,movie,N/A,N/A,N/A,N/A,True,
686,"A Florida Feud: or, Love in the Everglades",1909,N/A,08 Jan 1909,N/A,"Short, Drama",Sidney Olcott,N/A,N/A,"Sue Guthrie and young Cordova are lovers, but the fathers of the two families are bitter enemies. The love affair finally triumphs after being entangled in the meshes of a cruel family warfare.","None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0000687,movie,N/A,N/A,N/A,N/A,True,
687,The Flower Girl of Paris,1908,N/A,26 Dec 1908,N/A,"Short, Drama",Van Dyke Brooke,N/A,Mary Fuller,"In a thieves' den in a low quarter of Paris, Jean Bambard, a desperado, and Pigord, one of his gang, are apparently quarreling. They take frequent pulls from a brandy bottle on the table ...",None,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000688,movie,N/A,N/A,N/A,N/A,True,
688,For Love of Gold,1908,N/A,21 Aug 1908,9 min,"Short, Crime",D.W. Griffith,"D.W. Griffith, Jack London (story ""Just Meat"")","Harry Solter, George Gebhardt, Charles Gorman, Charles Inslee","It is often said there is honor among thieves, but not so, as we shall see in this story. Two denizens of the underworld are seen in their squalid furnished room planning a robbery. Their ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,16,tt0000689,movie,N/A,N/A,N/A,N/A,True,
689,For a Wife's Honor,1908,N/A,28 Aug 1908,8 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Charles Inslee, Harry Solter, George Gebhardt, Linda Arvidson","Irving Robertson, a successful playwright, has just received a message from out of town to witness the initial performance of one of his plays. As he is about to leave, Henderson, the ...","None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,12,tt0000690,movie,N/A,N/A,N/A,N/A,True,
690,The French Maid,1908,N/A,N/A,N/A,Short,N/A,N/A,Donald Crisp,N/A,N/A,USA,N/A,N/A,[],N/A,N/A,N/A,tt0000691,movie,N/A,N/A,N/A,N/A,True,
691,El fusilamiento de Dorrego,1908,N/A,24 May 1908,N/A,"Short, History",Mario Gallo,N/A,"Salvador Rosich, Eliseo Gutiérrez, Roberto Casaux","The director Mario Gallo made the first film with an argument from Argentina, although the opinions of scholars are not coincident as to their temporal order.",None,Argentina,N/A,https://m.media-amazon.com/images/M/MV5BODJhZDk5NjktYzBhMi00YmEzLTgyYTktNmNjODI2NmEwYzIyXkEyXkFqcGdeQXVyMjQ0NzgwNzY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0000692,movie,N/A,N/A,N/A,N/A,True,
692,Gerona monumental,1908,N/A,N/A,N/A,"Documentary, Short",Fructuós Gelabert,Fructuós Gelabert,N/A,N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000693,movie,N/A,N/A,N/A,N/A,True,
693,The Girl and the Outlaw,1908,N/A,08 Sep 1908,14 min,"Short, Action, Western",D.W. Griffith,D.W. Griffith,"Charles Inslee, Harry Solter, Gene Gauntier","Bill Preston, a heartless roadabout, too despicable for the association of white men, had gathered about him a little band of low-down redskins, whom he seemed to rule by extreme despotism. At any rate, they all feared him, as he, wi","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,16,tt0000694,movie,N/A,N/A,N/A,N/A,True,
694,The Greaser's Gauntlet,1908,N/A,11 Aug 1908,17 min,"Short, Action",D.W. Griffith,"D.W. Griffith, Stanner E.V. Taylor","Wilfred Lucas, Arthur V. Johnson, Marion Leonard","Though somewhat obscure in the beginning, this subject shows the efficacy of a mother's prayer. Holy is the name Mother, and many who stray from the path of righteousness to the radiantly alluring avenues of sin and prodigality, are ","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,53,tt0000695,movie,N/A,N/A,N/A,N/A,True,
695,El guardia burlado,1908,N/A,N/A,9 min,Short,Fructuós Gelabert,Fructuós Gelabert,"Juan Morales, Antonio Plácido, Antonio Primo",N/A,None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000696,movie,N/A,N/A,N/A,N/A,True,
696,The Guerrilla,1908,N/A,13 Nov 1908,15 min,"Short, Action, War",D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Dorothy West, George Gebhardt",A Confederate officer rescues his lady love from a drunken guerrilla.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNWZlNTdjMzYtMWYzNi00MDg1LWEwZGMtM2Q1YTg0OWFmMjEyXkEyXkFqcGdeQXVyMTI2OTg5ODQw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,8,tt0000697,movie,N/A,N/A,N/A,N/A,True,
697,The Heart of O Yama,1908,N/A,18 Sep 1908,15 min,"Short, Drama, Romance",D.W. Griffith,"D.W. Griffith, Bret Harte","Florence Lawrence, George Gebhardt, D.W. Griffith","Pretty Miss Chrysanthemum has but little to say as to the disposal of her heart, at least, such is the custom in Japan. Her parents attend to that for her. However, pretty little O Yama Sum had a will of her own, and casting traditio","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,24,tt0000698,movie,N/A,N/A,N/A,N/A,True,
698,The Helping Hand,1908,N/A,29 Dec 1908,15 min,"Short, Drama",D.W. Griffith,D.W. Griffith,"Flora Finch, Linda Arvidson, Anita Hendrie",N/A,"None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,8,tt0000699,movie,N/A,N/A,N/A,N/A,True,
699,Her First Adventure,1908,N/A,18 Mar 1908,6 min,"Drama, Short",Wallace McCutcheon,N/A,"D.W. Griffith, Robert Harron","A father arrives home, greets his wife and daughter, and then goes inside with his wife. Though they are only inside for a brief time, their daughter wanders off, attracted by the music from a pair of gypsies performing in the street","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNjA0MjY4NDk4Nl5BMl5BanBnXkFtZTcwNzg1MDA4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,66,tt0000700,movie,N/A,N/A,N/A,N/A,True,
700,His Day of Rest,1908,N/A,29 May 1908,N/A,"Short, Comedy",Wallace McCutcheon,Frank E. Woods,Edward Dillon,"Poor Jones plodded along in his wearying struggle to earn the pittance with which to maintain the home, and though often plunged into doleful, dismal doldrums, being of an imperturbable ...","None, English",USA,N/A,N/A,[],N/A,N/A,N/A,tt0000701,movie,N/A,N/A,N/A,N/A,True,
701,#DUPE#,1908,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,[],N/A,N/A,N/A,tt0000516,movie,N/A,N/A,N/A,N/A,True,
702,Hulda's Lovers,1908,N/A,22 Apr 1908,N/A,"Short, Comedy",Wallace McCutcheon,Gene Gauntier,"Edward Dillon, Gene Gauntier, D.W. Griffith","Hulda is a maiden fair to look upon. Her artless rustic simplicity, rivaling Hebe's gorgeous radiance, phlogisticates the susceptible hearts of the village swains. But alas, Hulda was a fickle maid, and seemed to have as many phases ","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0000703,movie,N/A,N/A,N/A,N/A,True,
703,The Humpty Dumpty Circus,1898,N/A,02 Nov 1908,N/A,"Animation, Short, Comedy","J. Stuart Blackton, Albert E. Smith",J. Stuart Blackton (animated by),N/A,"A reel of mirth-provoking stunts that will draw the pennies from the children, but which is of much interest to young and old alike. It opens with a crowd of children leaving school and ...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BNzI4ZDE2YTAtMWI2My00ZTg5LWIwMGQtODNmZjBhZTgzN2QxXkEyXkFqcGdeQXVyMzUwMTgwMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,24,tt0000704,movie,N/A,N/A,N/A,N/A,True,
704,Inauguración de la exposición hispano-francesa,1908,N/A,N/A,36 min,"Short, Documentary",Ignacio Coyne,N/A,N/A,"A documentary about the inauguration of the ""Arts Exposition"" in Zaragoza, with the assistance of several artists and personalities from Spain and France.",None,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0000705,movie,N/A,N/A,N/A,N/A,True,
705,"Ingomar, the Barbarian",1908,N/A,13 Oct 1908,13 min,"Short, Drama, Romance",D.W. Griffith,"D.W. Griffith, Ernest Thompson Seton","Charles Inslee, Harry Solter, Florence Lawrence",N/A,"None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,11,tt0000706,movie,N/A,N/A,N/A,N/A,True,
706,The Ingrate,1908,N/A,20 Nov 1908,15 min,"Short, Action",D.W. Griffith,D.W. Griffith,"Arthur V. Johnson, Florence Lawrence, George Gebhardt, Barry O'Moore",N/A,"None, English",USA,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,7,tt0000707,movie,N/A,N/A,N/A,N/A,True,
